Time,,,HR,BR
3/22/2019,4:02:34,PM,85,12
3/22/2019,4:02:35,PM,87,12
3/22/2019,4:02:36,PM,90,12
3/22/2019,4:02:37,PM,94,12
3/22/2019,4:02:38,PM,96,12
3/22/2019,4:02:39,PM,95,12
3/22/2019,4:02:40,PM,94,12
3/22/2019,4:02:41,PM,92,12
3/22/2019,4:02:42,PM,90,12
3/22/2019,4:02:43,PM,80,12
3/22/2019,4:02:44,PM,74,12
3/22/2019,4:02:45,PM,73,12
3/22/2019,4:02:46,PM,73,12
3/22/2019,4:02:47,PM,74,12
3/22/2019,4:02:48,PM,75,12
3/22/2019,4:02:49,PM,77,12
3/22/2019,4:02:50,PM,77,12
3/22/2019,4:02:51,PM,78,12
3/22/2019,4:02:52,PM,83,12
3/22/2019,4:02:53,PM,88,12
3/22/2019,4:02:54,PM,93,12
3/22/2019,4:02:55,PM,89,12
3/22/2019,4:02:56,PM,86,12
3/22/2019,4:02:57,PM,83,11
3/22/2019,4:02:58,PM,79,11
3/22/2019,4:02:59,PM,74,11
3/22/2019,4:03:00,PM,73,11
3/22/2019,4:03:01,PM,73,11
3/22/2019,4:03:02,PM,75,11
3/22/2019,4:03:03,PM,78,11
3/22/2019,4:03:04,PM,79,11
3/22/2019,4:03:05,PM,82,11
3/22/2019,4:03:06,PM,87,11
3/22/2019,4:03:07,PM,92,11
3/22/2019,4:03:08,PM,98,11
3/22/2019,4:03:09,PM,97,11
3/22/2019,4:03:10,PM,94,11
3/22/2019,4:03:11,PM,90,11
3/22/2019,4:03:12,PM,88,11
3/22/2019,4:03:13,PM,85,11
3/22/2019,4:03:14,PM,84,11
3/22/2019,4:03:16,PM,84,11
3/22/2019,4:03:17,PM,83,11
3/22/2019,4:03:18,PM,86,11
3/22/2019,4:03:19,PM,85,11
3/22/2019,4:03:20,PM,85,11
3/22/2019,4:03:21,PM,89,11
3/22/2019,4:03:22,PM,95,11
3/22/2019,4:03:23,PM,95,12
3/22/2019,4:03:24,PM,91,12
3/22/2019,4:03:25,PM,86,12
3/22/2019,4:03:26,PM,83,12
3/22/2019,4:03:27,PM,79,12
3/22/2019,4:03:28,PM,79,12
3/22/2019,4:03:29,PM,84,13
3/22/2019,4:03:30,PM,86,13
3/22/2019,4:03:31,PM,84,13
3/22/2019,4:03:32,PM,80,13
3/22/2019,4:03:33,PM,76,13
3/22/2019,4:03:34,PM,73,13
3/22/2019,4:03:35,PM,72,14
3/22/2019,4:03:36,PM,73,14
3/22/2019,4:03:37,PM,74,14
3/22/2019,4:03:38,PM,74,14
3/22/2019,4:03:39,PM,73,14
3/22/2019,4:03:40,PM,75,14
3/22/2019,4:03:41,PM,76,14
3/22/2019,4:03:42,PM,73,14
3/22/2019,4:03:43,PM,69,14
3/22/2019,4:03:44,PM,71,14
3/22/2019,4:03:45,PM,73,14
3/22/2019,4:03:46,PM,73,14
3/22/2019,4:03:47,PM,73,14
3/22/2019,4:03:48,PM,77,14
3/22/2019,4:03:49,PM,78,14
3/22/2019,4:03:50,PM,76,14
3/22/2019,4:03:51,PM,73,14
3/22/2019,4:03:52,PM,77,14
3/22/2019,4:03:53,PM,81,14
3/22/2019,4:03:54,PM,81,14
3/22/2019,4:03:55,PM,77,14
3/22/2019,4:03:56,PM,77,14
3/22/2019,4:03:57,PM,82,14
3/22/2019,4:03:58,PM,85,14
3/22/2019,4:03:59,PM,84,14
3/22/2019,4:04:00,PM,84,14
3/22/2019,4:04:01,PM,87,14
3/22/2019,4:04:02,PM,88,14
3/22/2019,4:04:03,PM,86,14
3/22/2019,4:04:04,PM,83,14
3/22/2019,4:04:05,PM,82,14
3/22/2019,4:04:06,PM,83,14
3/22/2019,4:04:07,PM,88,14
3/22/2019,4:04:08,PM,89,14
3/22/2019,4:04:09,PM,85,14
3/22/2019,4:04:10,PM,82,14
3/22/2019,4:04:11,PM,78,14
3/22/2019,4:04:12,PM,74,14
3/22/2019,4:04:13,PM,72,14
3/22/2019,4:04:14,PM,72,14
3/22/2019,4:04:15,PM,74,14
3/22/2019,4:04:16,PM,78,14
3/22/2019,4:04:17,PM,82,14
3/22/2019,4:04:18,PM,82,14
3/22/2019,4:04:19,PM,79,14
3/22/2019,4:04:20,PM,77,14
