 Time,,, HR, BR
3/28/2019,3:57:10,PM,83,20
3/28/2019,3:57:11,PM,79,20
3/28/2019,3:57:12,PM,75,20
3/28/2019,3:57:13,PM,76,20
3/28/2019,3:57:14,PM,75,20
3/28/2019,3:57:15,PM,74,20
3/28/2019,3:57:16,PM,79,19
3/28/2019,3:57:17,PM,80,19
3/28/2019,3:57:18,PM,80,19
3/28/2019,3:57:19,PM,82,19
3/28/2019,3:57:20,PM,81,19
3/28/2019,3:57:21,PM,80,19
3/28/2019,3:57:22,PM,81,19
3/28/2019,3:57:23,PM,79,19
3/28/2019,3:57:24,PM,77,19
3/28/2019,3:57:25,PM,79,19
3/28/2019,3:57:26,PM,79,19
3/28/2019,3:57:27,PM,79,19
3/28/2019,3:57:28,PM,81,19
3/28/2019,3:57:29,PM,82,19
3/28/2019,3:57:30,PM,80,19
3/28/2019,3:57:31,PM,80,19
3/28/2019,3:57:32,PM,80,19
3/28/2019,3:57:33,PM,78,19
3/28/2019,3:57:34,PM,81,19
3/28/2019,3:57:35,PM,82,19
3/28/2019,3:57:36,PM,82,19
3/28/2019,3:57:37,PM,83,19
3/28/2019,3:57:38,PM,83,19
3/28/2019,3:57:39,PM,81,19
3/28/2019,3:57:40,PM,83,20
3/28/2019,3:57:41,PM,82,20
3/28/2019,3:57:42,PM,81,20
3/28/2019,3:57:43,PM,83,20
3/28/2019,3:57:44,PM,84,20
3/28/2019,3:57:45,PM,86,20
3/28/2019,3:57:46,PM,87,20
3/28/2019,3:57:47,PM,83,20
3/28/2019,3:57:48,PM,86,19
3/28/2019,3:57:49,PM,86,19
3/28/2019,3:57:50,PM,85,19
3/28/2019,3:57:51,PM,86,19
3/28/2019,3:57:52,PM,88,19
3/28/2019,3:57:53,PM,88,19
3/28/2019,3:57:54,PM,86,18
3/28/2019,3:57:55,PM,83,18
3/28/2019,3:57:56,PM,82,18
3/28/2019,3:57:57,PM,78,18
3/28/2019,3:57:58,PM,75,18
3/28/2019,3:58:00,PM,77,17
3/28/2019,3:58:01,PM,75,17
3/28/2019,3:58:02,PM,73,17
3/28/2019,3:58:03,PM,73,17
3/28/2019,3:58:04,PM,74,17
3/28/2019,3:58:05,PM,71,17
3/28/2019,3:58:06,PM,71,16
3/28/2019,3:58:07,PM,73,16
3/28/2019,3:58:08,PM,74,16
3/28/2019,3:58:09,PM,72,16
3/28/2019,3:58:10,PM,70,16
3/28/2019,3:58:11,PM,69,16
3/28/2019,3:58:12,PM,70,16
3/28/2019,3:58:13,PM,71,16
3/28/2019,3:58:14,PM,70,16
3/28/2019,3:58:15,PM,72,16
3/28/2019,3:58:16,PM,73,16
3/28/2019,3:58:17,PM,73,16
3/28/2019,3:58:18,PM,72,16
3/28/2019,3:58:19,PM,74,16
3/28/2019,3:58:20,PM,73,16
3/28/2019,3:58:21,PM,71,16
3/28/2019,3:58:22,PM,69,16
3/28/2019,3:58:23,PM,70,16
3/28/2019,3:58:24,PM,72,16
3/28/2019,3:58:25,PM,72,16
3/28/2019,3:58:26,PM,71,16
3/28/2019,3:58:27,PM,72,16
3/28/2019,3:58:28,PM,73,16
3/28/2019,3:58:29,PM,72,16
3/28/2019,3:58:30,PM,71,16
3/28/2019,3:58:31,PM,74,16
3/28/2019,3:58:32,PM,75,15
3/28/2019,3:58:33,PM,77,15
3/28/2019,3:58:34,PM,78,15
3/28/2019,3:58:35,PM,77,15
3/28/2019,3:58:36,PM,82,15
3/28/2019,3:58:37,PM,83,15
3/28/2019,3:58:38,PM,81,16
3/28/2019,3:58:39,PM,83,16
3/28/2019,3:58:40,PM,82,16
3/28/2019,3:58:41,PM,79,16
3/28/2019,3:58:42,PM,79,16
3/28/2019,3:58:43,PM,79,16
3/28/2019,3:58:44,PM,77,16
3/28/2019,3:58:45,PM,77,16
3/28/2019,3:58:46,PM,79,17
3/28/2019,3:58:47,PM,77,17
3/28/2019,3:58:48,PM,77,17
3/28/2019,3:58:49,PM,80,17
3/28/2019,3:58:50,PM,78,17
3/28/2019,3:58:51,PM,75,17
3/28/2019,3:58:52,PM,74,18
3/28/2019,3:58:53,PM,74,18
3/28/2019,3:58:54,PM,73,18
3/28/2019,3:58:55,PM,74,18
3/28/2019,3:58:56,PM,75,18
3/28/2019,3:58:57,PM,74,18
3/28/2019,3:58:58,PM,75,18
3/28/2019,3:58:59,PM,77,18
3/28/2019,3:59:00,PM,77,18
3/28/2019,3:59:01,PM,75,18
3/28/2019,3:59:02,PM,75,18
3/28/2019,3:59:04,PM,73,18
3/28/2019,3:59:05,PM,76,18
3/28/2019,3:59:06,PM,77,18
3/28/2019,3:59:07,PM,77,18
3/28/2019,3:59:08,PM,78,18
3/28/2019,3:59:09,PM,78,18
3/28/2019,3:59:10,PM,76,18
3/28/2019,3:59:11,PM,77,18
3/28/2019,3:59:12,PM,78,18
3/28/2019,3:59:13,PM,77,18
3/28/2019,3:59:14,PM,77,18
3/28/2019,3:59:15,PM,79,18
3/28/2019,3:59:16,PM,79,18
3/28/2019,3:59:17,PM,78,18
3/28/2019,3:59:18,PM,80,18
3/28/2019,3:59:19,PM,78,18
3/28/2019,3:59:20,PM,79,18
3/28/2019,3:59:21,PM,82,18
3/28/2019,3:59:22,PM,81,19
3/28/2019,3:59:23,PM,82,19
3/28/2019,3:59:24,PM,82,19
3/28/2019,3:59:25,PM,80,19
3/28/2019,3:59:26,PM,80,19
3/28/2019,3:59:27,PM,80,19
3/28/2019,3:59:28,PM,79,19
3/28/2019,3:59:29,PM,78,19
3/28/2019,3:59:30,PM,79,19
3/28/2019,3:59:31,PM,79,19
3/28/2019,3:59:32,PM,79,19
3/28/2019,3:59:33,PM,79,19
3/28/2019,3:59:34,PM,78,19
3/28/2019,3:59:35,PM,77,19
3/28/2019,3:59:36,PM,80,19
3/28/2019,3:59:37,PM,81,19
3/28/2019,3:59:38,PM,81,19
3/28/2019,3:59:39,PM,84,19
3/28/2019,3:59:40,PM,85,19
3/28/2019,3:59:41,PM,84,19
3/28/2019,3:59:42,PM,85,19
3/28/2019,3:59:43,PM,82,19
3/28/2019,3:59:44,PM,79,19
3/28/2019,3:59:45,PM,83,19
3/28/2019,3:59:46,PM,83,19
3/28/2019,3:59:47,PM,82,19
3/28/2019,3:59:48,PM,85,19
3/28/2019,3:59:49,PM,86,19
3/28/2019,3:59:50,PM,85,19
3/28/2019,3:59:51,PM,88,19
3/28/2019,3:59:52,PM,88,19
3/28/2019,3:59:53,PM,85,19
3/28/2019,3:59:55,PM,77,18
3/28/2019,3:59:56,PM,72,18
3/28/2019,3:59:57,PM,70,18
3/28/2019,3:59:58,PM,73,18
3/28/2019,3:59:59,PM,73,18
3/28/2019,4:00:00,PM,74,18
3/28/2019,4:00:01,PM,76,18
3/28/2019,4:00:02,PM,75,18
3/28/2019,4:00:03,PM,76,18
3/28/2019,4:00:04,PM,78,17
3/28/2019,4:00:05,PM,77,17
3/28/2019,4:00:06,PM,76,17
3/28/2019,4:00:07,PM,77,17
3/28/2019,4:00:08,PM,76,17
3/28/2019,4:00:09,PM,78,17
3/28/2019,4:00:10,PM,78,17
3/28/2019,4:00:11,PM,75,17
3/28/2019,4:00:12,PM,75,17
3/28/2019,4:00:13,PM,78,17
3/28/2019,4:00:14,PM,77,17
3/28/2019,4:00:15,PM,77,17
3/28/2019,4:00:16,PM,79,17
3/28/2019,4:00:17,PM,77,17
3/28/2019,4:00:18,PM,77,17
3/28/2019,4:00:19,PM,79,17
3/28/2019,4:00:20,PM,78,17
3/28/2019,4:00:21,PM,77,17
3/28/2019,4:00:22,PM,81,16
3/28/2019,4:00:23,PM,81,16
3/28/2019,4:00:24,PM,78,16
3/28/2019,4:00:25,PM,77,16
3/28/2019,4:00:26,PM,76,16
3/28/2019,4:00:27,PM,74,16
3/28/2019,4:00:28,PM,76,16
3/28/2019,4:00:29,PM,78,16
3/28/2019,4:00:30,PM,77,16
3/28/2019,4:00:31,PM,79,16
3/28/2019,4:00:32,PM,80,16
3/28/2019,4:00:33,PM,79,16
3/28/2019,4:00:34,PM,80,16
3/28/2019,4:00:35,PM,81,16
3/28/2019,4:00:36,PM,79,17
3/28/2019,4:00:37,PM,79,17
3/28/2019,4:00:38,PM,79,17
3/28/2019,4:00:39,PM,80,17
3/28/2019,4:00:40,PM,82,17
3/28/2019,4:00:41,PM,84,17
3/28/2019,4:00:42,PM,86,17
3/28/2019,4:00:43,PM,86,17
3/28/2019,4:00:44,PM,82,17
3/28/2019,4:00:45,PM,83,17
3/28/2019,4:00:46,PM,83,17
3/28/2019,4:00:47,PM,82,17
3/28/2019,4:00:48,PM,84,17
3/28/2019,4:00:49,PM,83,17
3/28/2019,4:00:50,PM,81,18
3/28/2019,4:00:51,PM,80,18
3/28/2019,4:00:52,PM,80,18
3/28/2019,4:00:53,PM,78,18
3/28/2019,4:00:54,PM,75,17
3/28/2019,4:00:55,PM,76,17
3/28/2019,4:00:56,PM,76,17
3/28/2019,4:00:57,PM,75,17
3/28/2019,4:00:58,PM,79,17
3/28/2019,4:00:59,PM,78,17
3/28/2019,4:01:01,PM,75,17
3/28/2019,4:01:02,PM,76,16
3/28/2019,4:01:03,PM,75,16
3/28/2019,4:01:04,PM,76,16
3/28/2019,4:01:05,PM,78,16
3/28/2019,4:01:06,PM,77,16
3/28/2019,4:01:07,PM,78,16
3/28/2019,4:01:08,PM,78,16
3/28/2019,4:01:09,PM,77,16
3/28/2019,4:01:10,PM,78,17
3/28/2019,4:01:11,PM,79,17
3/28/2019,4:01:12,PM,77,17
3/28/2019,4:01:13,PM,80,17
3/28/2019,4:01:14,PM,81,17
3/28/2019,4:01:15,PM,81,17
3/28/2019,4:01:16,PM,85,17
3/28/2019,4:01:17,PM,87,17
3/28/2019,4:01:18,PM,84,17
3/28/2019,4:01:19,PM,82,17
3/28/2019,4:01:20,PM,82,17
3/28/2019,4:01:21,PM,80,17
3/28/2019,4:01:22,PM,82,17
3/28/2019,4:01:23,PM,83,17
3/28/2019,4:01:24,PM,86,17
3/28/2019,4:01:25,PM,87,17
3/28/2019,4:01:26,PM,84,17
3/28/2019,4:01:27,PM,84,17
3/28/2019,4:01:28,PM,83,17
3/28/2019,4:01:29,PM,80,17
3/28/2019,4:01:30,PM,80,17
3/28/2019,4:01:31,PM,80,17
3/28/2019,4:01:32,PM,79,17
3/28/2019,4:01:33,PM,79,17
3/28/2019,4:01:34,PM,81,17
3/28/2019,4:01:35,PM,80,17
3/28/2019,4:01:36,PM,82,17
3/28/2019,4:01:37,PM,83,17
3/28/2019,4:01:38,PM,81,17
3/28/2019,4:01:39,PM,79,17
3/28/2019,4:01:40,PM,80,17
3/28/2019,4:01:41,PM,78,17
3/28/2019,4:01:42,PM,76,17
3/28/2019,4:01:43,PM,78,17
3/28/2019,4:01:44,PM,77,17
3/28/2019,4:01:45,PM,77,17
3/28/2019,4:01:46,PM,80,17
3/28/2019,4:01:47,PM,79,17
3/28/2019,4:01:48,PM,78,17
3/28/2019,4:01:49,PM,81,17
3/28/2019,4:01:50,PM,81,17
3/28/2019,4:01:51,PM,79,17
3/28/2019,4:01:52,PM,80,18
3/28/2019,4:01:53,PM,79,18
3/28/2019,4:01:54,PM,77,18
3/28/2019,4:01:55,PM,80,18
3/28/2019,4:01:56,PM,82,18
3/28/2019,4:01:57,PM,80,18
3/28/2019,4:01:59,PM,82,18
3/28/2019,4:02:00,PM,82,18
3/28/2019,4:02:01,PM,78,18
3/28/2019,4:02:02,PM,79,18
3/28/2019,4:02:03,PM,77,18
3/28/2019,4:02:04,PM,74,18
3/28/2019,4:02:05,PM,75,18
3/28/2019,4:02:06,PM,79,18
3/28/2019,4:02:07,PM,78,18
3/28/2019,4:02:08,PM,76,19
3/28/2019,4:02:09,PM,79,19
3/28/2019,4:02:10,PM,79,19
3/28/2019,4:02:11,PM,78,19
3/28/2019,4:02:12,PM,82,19
3/28/2019,4:02:13,PM,83,19
3/28/2019,4:02:14,PM,84,18
3/28/2019,4:02:15,PM,81,18
3/28/2019,4:02:16,PM,82,18
3/28/2019,4:02:17,PM,84,18
3/28/2019,4:02:18,PM,82,18
3/28/2019,4:02:19,PM,80,18
3/28/2019,4:02:20,PM,82,18
3/28/2019,4:02:21,PM,81,18
3/28/2019,4:02:22,PM,80,18
3/28/2019,4:02:23,PM,80,18
3/28/2019,4:02:24,PM,78,18
3/28/2019,4:02:25,PM,76,18
3/28/2019,4:02:26,PM,78,18
3/28/2019,4:02:27,PM,79,18
3/28/2019,4:02:28,PM,79,18
3/28/2019,4:02:29,PM,83,18
3/28/2019,4:02:30,PM,82,18
3/28/2019,4:02:31,PM,81,18
3/28/2019,4:02:32,PM,82,18
3/28/2019,4:02:33,PM,80,18
3/28/2019,4:02:34,PM,79,18
3/28/2019,4:02:35,PM,81,18
3/28/2019,4:02:36,PM,80,18
3/28/2019,4:02:37,PM,81,18
3/28/2019,4:02:38,PM,82,18
3/28/2019,4:02:39,PM,81,18
3/28/2019,4:02:40,PM,83,18
3/28/2019,4:02:41,PM,81,18
3/28/2019,4:02:42,PM,81,19
3/28/2019,4:02:43,PM,83,19
3/28/2019,4:02:44,PM,81,19
3/28/2019,4:02:45,PM,81,19
3/28/2019,4:02:46,PM,85,19
3/28/2019,4:02:47,PM,83,19
3/28/2019,4:02:48,PM,81,19
3/28/2019,4:02:49,PM,83,19
3/28/2019,4:02:50,PM,80,20
3/28/2019,4:02:51,PM,80,20
3/28/2019,4:02:52,PM,80,20
3/28/2019,4:02:53,PM,77,20
3/28/2019,4:02:55,PM,85,20
3/28/2019,4:02:56,PM,89,19
3/28/2019,4:02:57,PM,86,19
3/28/2019,4:02:58,PM,81,19
3/28/2019,4:02:59,PM,78,19
3/28/2019,4:03:00,PM,78,19
3/28/2019,4:03:01,PM,77,19
3/28/2019,4:03:02,PM,77,18
3/28/2019,4:03:03,PM,79,18
3/28/2019,4:03:04,PM,80,18
3/28/2019,4:03:05,PM,80,18
3/28/2019,4:03:06,PM,79,18
3/28/2019,4:03:07,PM,80,18
3/28/2019,4:03:08,PM,82,17
3/28/2019,4:03:09,PM,80,17
3/28/2019,4:03:10,PM,77,17
3/28/2019,4:03:11,PM,75,17
3/28/2019,4:03:12,PM,74,16
3/28/2019,4:03:13,PM,72,16
3/28/2019,4:03:14,PM,71,16
3/28/2019,4:03:15,PM,73,16
3/28/2019,4:03:16,PM,75,15
3/28/2019,4:03:17,PM,76,15
3/28/2019,4:03:18,PM,76,15
3/28/2019,4:03:19,PM,79,15
3/28/2019,4:03:20,PM,80,14
3/28/2019,4:03:21,PM,78,14
3/28/2019,4:03:22,PM,76,14
3/28/2019,4:03:23,PM,75,14
3/28/2019,4:03:24,PM,76,14
3/28/2019,4:03:25,PM,75,14
3/28/2019,4:03:26,PM,74,14
3/28/2019,4:03:27,PM,75,14
3/28/2019,4:03:28,PM,76,14
3/28/2019,4:03:29,PM,76,14
3/28/2019,4:03:30,PM,78,14
3/28/2019,4:03:31,PM,81,14
3/28/2019,4:03:32,PM,81,14
3/28/2019,4:03:33,PM,78,14
3/28/2019,4:03:34,PM,77,14
3/28/2019,4:03:35,PM,76,14
3/28/2019,4:03:36,PM,75,14
