Time,,, HR, BR
4/4/2019,11:01:51,AM,87,10
4/4/2019,11:01:52,AM,89,10
4/4/2019,11:01:53,AM,91,10
4/4/2019,11:01:54,AM,92,10
4/4/2019,11:01:55,AM,92,10
4/4/2019,11:01:56,AM,90,10
4/4/2019,11:01:57,AM,89,10
4/4/2019,11:01:58,AM,91,10
4/4/2019,11:01:59,AM,94,10
4/4/2019,11:02:00,AM,98,10
4/4/2019,11:02:01,AM,101,10
4/4/2019,11:02:02,AM,103,10
4/4/2019,11:02:03,AM,101,10
4/4/2019,11:02:04,AM,100,10
4/4/2019,11:02:05,AM,100,10
4/4/2019,11:02:06,AM,102,10
4/4/2019,11:02:07,AM,104,10
4/4/2019,11:02:08,AM,104,10
4/4/2019,11:02:09,AM,100,10
4/4/2019,11:02:10,AM,95,10
4/4/2019,11:02:11,AM,90,10
4/4/2019,11:02:12,AM,86,10
4/4/2019,11:02:13,AM,81,10
4/4/2019,11:02:14,AM,80,10
4/4/2019,11:02:15,AM,79,10
4/4/2019,11:02:16,AM,80,10
4/4/2019,11:02:17,AM,82,10
4/4/2019,11:02:18,AM,86,10
4/4/2019,11:02:19,AM,91,11
4/4/2019,11:02:20,AM,98,11
4/4/2019,11:02:21,AM,101,11
4/4/2019,11:02:22,AM,98,11
4/4/2019,11:02:23,AM,94,11
4/4/2019,11:02:24,AM,91,11
4/4/2019,11:02:25,AM,90,12
4/4/2019,11:02:26,AM,91,12
4/4/2019,11:02:27,AM,93,13
4/4/2019,11:02:28,AM,94,13
4/4/2019,11:02:29,AM,94,14
4/4/2019,11:02:30,AM,89,14
4/4/2019,11:02:31,AM,86,15
4/4/2019,11:02:32,AM,84,15
4/4/2019,11:02:34,AM,86,15
4/4/2019,11:02:35,AM,89,16
4/4/2019,11:02:36,AM,90,16
4/4/2019,11:02:37,AM,91,16
4/4/2019,11:02:38,AM,91,16
4/4/2019,11:02:39,AM,91,16
4/4/2019,11:02:40,AM,91,16
4/4/2019,11:02:41,AM,92,16
4/4/2019,11:02:42,AM,92,16
4/4/2019,11:02:43,AM,91,16
4/4/2019,11:02:44,AM,88,16
4/4/2019,11:02:45,AM,85,16
4/4/2019,11:02:46,AM,85,16
4/4/2019,11:02:47,AM,86,16
4/4/2019,11:02:48,AM,87,16
4/4/2019,11:02:49,AM,89,16
4/4/2019,11:02:50,AM,90,16
4/4/2019,11:02:51,AM,90,16
4/4/2019,11:02:52,AM,91,16
4/4/2019,11:02:53,AM,90,16
4/4/2019,11:02:54,AM,89,16
4/4/2019,11:02:55,AM,88,16
4/4/2019,11:02:58,AM,90,16
4/4/2019,11:02:59,AM,91,16
4/4/2019,11:03:00,AM,92,16
4/4/2019,11:03:01,AM,92,16
4/4/2019,11:03:02,AM,92,16
4/4/2019,11:03:03,AM,92,16
4/4/2019,11:03:04,AM,92,16
4/4/2019,11:03:05,AM,93,16
4/4/2019,11:03:06,AM,97,16
4/4/2019,11:03:07,AM,100,16
4/4/2019,11:03:08,AM,102,16
4/4/2019,11:03:09,AM,103,16
4/4/2019,11:03:10,AM,103,16
4/4/2019,11:03:11,AM,102,16
4/4/2019,11:03:12,AM,103,16
4/4/2019,11:03:13,AM,105,16
4/4/2019,11:03:14,AM,106,16
4/4/2019,11:03:15,AM,104,16
4/4/2019,11:03:16,AM,101,16
4/4/2019,11:03:17,AM,96,16
4/4/2019,11:03:18,AM,93,16
4/4/2019,11:03:19,AM,90,15
4/4/2019,11:03:20,AM,88,15
4/4/2019,11:03:21,AM,87,15
4/4/2019,11:03:22,AM,87,15
4/4/2019,11:03:23,AM,87,15
4/4/2019,11:03:24,AM,88,15
4/4/2019,11:03:25,AM,87,14
4/4/2019,11:03:26,AM,86,14
4/4/2019,11:03:27,AM,85,14
4/4/2019,11:03:28,AM,84,14
4/4/2019,11:03:29,AM,85,14
4/4/2019,11:03:30,AM,86,14
4/4/2019,11:03:31,AM,88,14
4/4/2019,11:03:32,AM,87,14
4/4/2019,11:03:33,AM,85,14
4/4/2019,11:03:34,AM,83,14
4/4/2019,11:03:35,AM,83,14
4/4/2019,11:03:36,AM,86,14
4/4/2019,11:03:37,AM,90,14
4/4/2019,11:03:38,AM,93,14
4/4/2019,11:03:39,AM,92,14
4/4/2019,11:03:40,AM,91,14
4/4/2019,11:03:41,AM,87,14
4/4/2019,11:03:42,AM,87,14
4/4/2019,11:03:43,AM,88,13
4/4/2019,11:03:44,AM,91,13
4/4/2019,11:03:45,AM,94,13
4/4/2019,11:03:46,AM,95,13
4/4/2019,11:03:47,AM,95,13
4/4/2019,11:03:48,AM,94,13
4/4/2019,11:03:49,AM,95,13
4/4/2019,11:03:50,AM,95,13
4/4/2019,11:03:51,AM,95,13
4/4/2019,11:03:53,AM,89,13
4/4/2019,11:03:54,AM,86,13
4/4/2019,11:03:55,AM,87,13
4/4/2019,11:03:56,AM,88,13
4/4/2019,11:03:57,AM,89,12
4/4/2019,11:03:58,AM,90,12
4/4/2019,11:03:59,AM,92,12
4/4/2019,11:04:00,AM,94,12
4/4/2019,11:04:01,AM,95,12
4/4/2019,11:04:02,AM,96,12
4/4/2019,11:04:03,AM,98,12
4/4/2019,11:04:04,AM,100,12
4/4/2019,11:04:05,AM,102,12
4/4/2019,11:04:06,AM,99,12
4/4/2019,11:04:07,AM,97,12
4/4/2019,11:04:08,AM,98,12
4/4/2019,11:04:09,AM,99,12
4/4/2019,11:04:10,AM,101,12
4/4/2019,11:04:11,AM,103,12
4/4/2019,11:04:12,AM,106,12
4/4/2019,11:04:13,AM,107,11
4/4/2019,11:04:14,AM,108,11
4/4/2019,11:04:15,AM,109,11
4/4/2019,11:04:16,AM,107,11
4/4/2019,11:04:17,AM,104,11
4/4/2019,11:04:18,AM,98,11
4/4/2019,11:04:19,AM,93,11
4/4/2019,11:04:20,AM,91,11
4/4/2019,11:04:21,AM,91,11
4/4/2019,11:04:22,AM,92,11
4/4/2019,11:04:23,AM,92,11
4/4/2019,11:04:24,AM,92,11
4/4/2019,11:04:25,AM,90,11
4/4/2019,11:04:26,AM,86,11
4/4/2019,11:04:27,AM,82,11
4/4/2019,11:04:28,AM,77,11
4/4/2019,11:04:29,AM,74,11
4/4/2019,11:04:30,AM,74,11
4/4/2019,11:04:31,AM,77,11
