Time,,,HR,BR
3/26/2019,11:12:24,AM,92,7.7
3/26/2019,11:12:25,AM,94,7.7
3/26/2019,11:12:26,AM,94,7.3
3/26/2019,11:12:27,AM,94,7.3
3/26/2019,11:12:28,AM,93,7.1
3/26/2019,11:12:29,AM,89,7.1
3/26/2019,11:12:30,AM,87,7
3/26/2019,11:12:31,AM,89,7
3/26/2019,11:12:32,AM,91,7.2
3/26/2019,11:12:33,AM,92,7.2
3/26/2019,11:12:34,AM,95,7.7
3/26/2019,11:12:35,AM,97,7.7
3/26/2019,11:12:36,AM,97,9
3/26/2019,11:12:37,AM,99,9
3/26/2019,11:12:38,AM,100,10.2
3/26/2019,11:12:39,AM,102,10.2
3/26/2019,11:12:40,AM,103,11.3
3/26/2019,11:12:41,AM,101,11.3
3/26/2019,11:12:42,AM,95,12.3
3/26/2019,11:12:43,AM,93,12.3
3/26/2019,11:12:44,AM,95,13.1
3/26/2019,11:12:45,AM,99,13.1
3/26/2019,11:12:46,AM,99,13.9
3/26/2019,11:12:47,AM,98,13.9
3/26/2019,11:12:48,AM,97,12.8
3/26/2019,11:12:49,AM,97,12.8
3/26/2019,11:12:50,AM,102,11.8
3/26/2019,11:12:51,AM,103,11.8
3/26/2019,11:12:52,AM,99,11.3
3/26/2019,11:12:53,AM,94,11.3
3/26/2019,11:12:54,AM,90,10.7
3/26/2019,11:12:55,AM,89,10.7
3/26/2019,11:12:56,AM,91,10.3
3/26/2019,11:12:57,AM,95,10.3
3/26/2019,11:12:58,AM,98,9.9
3/26/2019,11:12:59,AM,98,9.9
3/26/2019,11:13:00,AM,95,9.8
3/26/2019,11:13:01,AM,94,9.8
3/26/2019,11:13:02,AM,94,10
3/26/2019,11:13:03,AM,93,10
3/26/2019,11:13:04,AM,97,10.2
3/26/2019,11:13:05,AM,100,10.2
3/26/2019,11:13:06,AM,101,10.4
3/26/2019,11:13:07,AM,101,10.4
3/26/2019,11:13:08,AM,99,10.9
3/26/2019,11:13:09,AM,100,10.9
3/26/2019,11:13:10,AM,100,11.3
3/26/2019,11:13:11,AM,97,11.3
3/26/2019,11:13:12,AM,95,11.7
3/26/2019,11:13:13,AM,95,11.7
3/26/2019,11:13:14,AM,97,12.2
3/26/2019,11:13:15,AM,100,12.2
3/26/2019,11:13:16,AM,104,12.6
3/26/2019,11:13:17,AM,104,12.6
3/26/2019,11:13:18,AM,101,12.8
3/26/2019,11:13:19,AM,101,12.8
3/26/2019,11:13:20,AM,101,13
3/26/2019,11:13:21,AM,100,13
3/26/2019,11:13:22,AM,102,13.3
3/26/2019,11:13:23,AM,103,13.3
3/26/2019,11:13:24,AM,100,13.5
3/26/2019,11:13:25,AM,99,13.5
3/26/2019,11:13:26,AM,100,12.1
3/26/2019,11:13:27,AM,103,12.1
3/26/2019,11:13:28,AM,103,11
3/26/2019,11:13:29,AM,101,11
3/26/2019,11:13:30,AM,101,10
3/26/2019,11:13:31,AM,103,10
3/26/2019,11:13:32,AM,102,9.2
3/26/2019,11:13:33,AM,103,9.2
3/26/2019,11:13:34,AM,104,8.5
3/26/2019,11:13:35,AM,106,8.5
3/26/2019,11:13:36,AM,106,7.8
3/26/2019,11:13:37,AM,104,7.8
3/26/2019,11:13:38,AM,99,7.3
3/26/2019,11:13:39,AM,94,7.3
3/26/2019,11:13:40,AM,95,7.2
3/26/2019,11:13:41,AM,94,7.2
3/26/2019,11:13:42,AM,94,7.2
3/26/2019,11:13:43,AM,96,7.2
3/26/2019,11:13:44,AM,97,7.2
3/26/2019,11:13:45,AM,98,7.2
3/26/2019,11:13:46,AM,101,7.1
3/26/2019,11:13:47,AM,105,7.1
3/26/2019,11:13:48,AM,105,7.2
3/26/2019,11:13:49,AM,103,7.2
3/26/2019,11:13:50,AM,102,7.2
3/26/2019,11:13:51,AM,101,7.2
3/26/2019,11:13:52,AM,103,7.3
