Time,,,HR,BR
3/27/2019,11:20:37,AM,75,13.4
3/27/2019,11:20:38,AM,76,13.8
3/27/2019,11:20:39,AM,74,13.8
3/27/2019,11:20:40,AM,72,14.3
3/27/2019,11:20:41,AM,70,14.3
3/27/2019,11:20:42,AM,69,14.3
3/27/2019,11:20:43,AM,69,14.3
3/27/2019,11:20:44,AM,70,14.7
3/27/2019,11:20:45,AM,74,14.7
3/27/2019,11:20:46,AM,75,14.7
3/27/2019,11:20:47,AM,77,14.7
3/27/2019,11:20:48,AM,77,15
3/27/2019,11:20:49,AM,74,15
3/27/2019,11:20:50,AM,72,15
3/27/2019,11:20:51,AM,71,15
3/27/2019,11:20:52,AM,71,15
3/27/2019,11:20:53,AM,71,15
3/27/2019,11:20:54,AM,71,15.3
3/27/2019,11:20:55,AM,72,15.3
3/27/2019,11:20:56,AM,74,15.3
3/27/2019,11:20:57,AM,75,15.3
3/27/2019,11:20:58,AM,74,15.3
3/27/2019,11:20:59,AM,73,15.3
3/27/2019,11:21:00,AM,73,15.3
3/27/2019,11:21:01,AM,78,15.3
3/27/2019,11:21:02,AM,79,15.2
3/27/2019,11:21:03,AM,78,15.2
3/27/2019,11:21:04,AM,75,15.2
3/27/2019,11:21:05,AM,71,15.2
3/27/2019,11:21:06,AM,67,15.2
3/27/2019,11:21:07,AM,65,15.2
3/27/2019,11:21:08,AM,65,14.9
3/27/2019,11:21:09,AM,65,14.9
3/27/2019,11:21:10,AM,65,14.9
3/27/2019,11:21:11,AM,66,14.9
3/27/2019,11:21:12,AM,67,14.6
3/27/2019,11:21:13,AM,68,14.6
3/27/2019,11:21:14,AM,69,14.6
3/27/2019,11:21:15,AM,69,14.6
3/27/2019,11:21:16,AM,74,14.7
3/27/2019,11:21:17,AM,76,14.7
3/27/2019,11:21:18,AM,74,14.7
3/27/2019,11:21:19,AM,73,14.7
3/27/2019,11:21:20,AM,70,15
3/27/2019,11:21:21,AM,66,15
3/27/2019,11:21:22,AM,67,15.6
3/27/2019,11:21:23,AM,71,15.6
3/27/2019,11:21:24,AM,74,15.9
3/27/2019,11:21:25,AM,73,15.9
3/27/2019,11:21:26,AM,72,16.1
3/27/2019,11:21:27,AM,72,16.1
3/27/2019,11:21:28,AM,71,16.6
3/27/2019,11:21:29,AM,72,16.6
3/27/2019,11:21:30,AM,75,16.7
3/27/2019,11:21:31,AM,79,16.7
3/27/2019,11:21:32,AM,81,16.8
3/27/2019,11:21:33,AM,82,16.8
3/27/2019,11:21:34,AM,81,16.9
3/27/2019,11:21:35,AM,81,16.9
3/27/2019,11:21:36,AM,81,17
3/27/2019,11:21:37,AM,82,17
3/27/2019,11:21:38,AM,82,17.1
3/27/2019,11:21:39,AM,82,17.1
3/27/2019,11:21:40,AM,81,17.2
3/27/2019,11:21:41,AM,80,17.2
3/27/2019,11:21:42,AM,79,17
3/27/2019,11:21:43,AM,80,17
3/27/2019,11:21:44,AM,81,17.4
3/27/2019,11:21:45,AM,79,17.4
3/27/2019,11:21:46,AM,78,17.7
3/27/2019,11:21:47,AM,78,17.7
3/27/2019,11:21:48,AM,78,17.8
3/27/2019,11:21:49,AM,74,17.8
3/27/2019,11:21:50,AM,71,18.1
3/27/2019,11:21:51,AM,69,18.1
3/27/2019,11:21:52,AM,68,18.7
3/27/2019,11:21:53,AM,68,18.7
3/27/2019,11:21:54,AM,68,18.6
