Time,,,HR,BR
3/12/2019,3:50:35,PM,86,15.9
3/12/2019,3:50:36,PM,86,15.9
3/12/2019,3:50:37,PM,87,16.4
3/12/2019,3:50:39,PM,87,16.5
3/12/2019,3:50:41,PM,89,16.7
3/12/2019,3:50:42,PM,89,16.7
3/12/2019,3:50:44,PM,90,16.5
3/12/2019,3:50:45,PM,90,16.7
3/12/2019,3:50:46,PM,90,16.7
3/12/2019,3:50:48,PM,94,16.5
3/12/2019,3:50:49,PM,95,16.5
3/12/2019,3:50:51,PM,96,16.5
3/12/2019,3:50:52,PM,96,16.5
3/12/2019,3:50:53,PM,93,16.6
3/12/2019,3:50:54,PM,91,16.6
3/12/2019,3:50:55,PM,92,16.6
3/12/2019,3:50:56,PM,94,16.6
3/12/2019,3:50:57,PM,94,16.6
3/12/2019,3:50:58,PM,92,16.6
3/12/2019,3:50:59,PM,90,15
3/12/2019,3:51:00,PM,90,15
3/12/2019,3:51:01,PM,89,13.8
3/12/2019,3:51:02,PM,87,13.8
3/12/2019,3:51:03,PM,87,12.7
3/12/2019,3:51:04,PM,87,12.7
3/12/2019,3:51:05,PM,86,12
3/12/2019,3:51:06,PM,86,12
3/12/2019,3:51:07,PM,88,11.4
3/12/2019,3:51:08,PM,89,11.4
3/12/2019,3:51:09,PM,91,10.9
3/12/2019,3:51:10,PM,90,10.9
3/12/2019,3:51:11,PM,86,10.7
3/12/2019,3:51:12,PM,85,10.7
3/12/2019,3:51:13,PM,86,10.8
3/12/2019,3:51:14,PM,87,10.8
3/12/2019,3:51:15,PM,87,10.9
3/12/2019,3:51:16,PM,88,10.9
3/12/2019,3:51:17,PM,89,11.3
3/12/2019,3:51:18,PM,89,11.3
3/12/2019,3:51:19,PM,89,11.7
3/12/2019,3:51:20,PM,91,11.7
3/12/2019,3:51:21,PM,91,12
3/12/2019,3:51:22,PM,90,12
3/12/2019,3:51:23,PM,91,12.3
3/12/2019,3:51:24,PM,92,12.3
3/12/2019,3:51:25,PM,92,12.6
3/12/2019,3:51:26,PM,90,12.6
3/12/2019,3:51:27,PM,91,12.8
3/12/2019,3:51:28,PM,90,12.8
3/12/2019,3:51:29,PM,89,13.3
3/12/2019,3:51:30,PM,88,13.3
3/12/2019,3:51:31,PM,90,13.5
3/12/2019,3:51:32,PM,89,13.5
3/12/2019,3:51:33,PM,88,13.6
3/12/2019,3:51:34,PM,90,13.6
3/12/2019,3:51:35,PM,90,14.1
3/12/2019,3:51:36,PM,89,14.1
3/12/2019,3:51:37,PM,89,14.2
3/12/2019,3:51:38,PM,90,14.2
3/12/2019,3:51:39,PM,90,14.5
3/12/2019,3:51:40,PM,90,14.5
3/12/2019,3:51:41,PM,90,14.9
3/12/2019,3:51:42,PM,89,14.9
3/12/2019,3:51:43,PM,88,15.2
3/12/2019,3:51:44,PM,89,15.2
3/12/2019,3:51:45,PM,90,15.5
3/12/2019,3:51:46,PM,91,15.5
3/12/2019,3:51:47,PM,92,15.7
3/12/2019,3:51:48,PM,93,15.7
3/12/2019,3:51:49,PM,92,15.9
3/12/2019,3:51:50,PM,92,15.9
3/12/2019,3:51:51,PM,92,16.4
3/12/2019,3:51:52,PM,90,16.4
3/12/2019,3:51:53,PM,90,16.6
3/12/2019,3:51:54,PM,90,16.6
3/12/2019,3:51:55,PM,90,16.7
3/12/2019,3:51:56,PM,91,16.7
3/12/2019,3:51:57,PM,92,17.2
3/12/2019,3:51:58,PM,92,17.2
3/12/2019,3:51:59,PM,92,17.2
3/12/2019,3:52:00,PM,93,17.2
3/12/2019,3:52:01,PM,92,17.3
3/12/2019,3:52:02,PM,91,17.3
3/12/2019,3:52:03,PM,92,17.4
3/12/2019,3:52:04,PM,92,17.4
3/12/2019,3:52:05,PM,91,17.4
3/12/2019,3:52:06,PM,91,17.4
3/12/2019,3:52:07,PM,93,17.5
3/12/2019,3:52:08,PM,92,17.5
3/12/2019,3:52:09,PM,90,17.5
3/12/2019,3:52:10,PM,87,17.5
3/12/2019,3:52:11,PM,88,17.6
3/12/2019,3:52:12,PM,89,17.6
3/12/2019,3:52:13,PM,88,17.6
3/12/2019,3:52:14,PM,88,17.6
3/12/2019,3:52:15,PM,87,17.6
3/12/2019,3:52:16,PM,87,17.6
3/12/2019,3:52:17,PM,88,17.4
3/12/2019,3:52:18,PM,89,17.4
3/12/2019,3:52:19,PM,88,17.4
3/12/2019,3:52:20,PM,87,17.4
3/12/2019,3:52:21,PM,85,17.2
3/12/2019,3:52:22,PM,86,17.2
3/12/2019,3:52:24,PM,87,17
3/12/2019,3:52:25,PM,86,16.6
3/12/2019,3:52:26,PM,86,16.6
3/12/2019,3:52:29,PM,89,16
3/12/2019,3:52:30,PM,87,16
3/12/2019,3:52:33,PM,87,15.6
3/12/2019,3:52:34,PM,87,15.6
3/12/2019,3:52:35,PM,86,14
3/12/2019,3:52:36,PM,86,14
3/12/2019,3:52:37,PM,89,12.6
3/12/2019,3:52:38,PM,91,12.6
3/12/2019,3:52:39,PM,95,11.4
3/12/2019,3:52:40,PM,97,11.4
3/12/2019,3:52:41,PM,99,10.2
3/12/2019,3:52:42,PM,98,10.2
3/12/2019,3:52:43,PM,95,9.5
3/12/2019,3:52:44,PM,91,9.5
3/12/2019,3:52:45,PM,90,8.9
3/12/2019,3:52:46,PM,90,8.9
3/12/2019,3:52:47,PM,91,8.6
3/12/2019,3:52:48,PM,92,8.6
3/12/2019,3:52:49,PM,95,8.3
3/12/2019,3:52:50,PM,96,8.3
3/12/2019,3:52:51,PM,98,8.4
3/12/2019,3:52:52,PM,98,8.4
3/12/2019,3:52:53,PM,99,8.5
3/12/2019,3:52:54,PM,98,8.5
3/12/2019,3:52:55,PM,96,8.5
3/12/2019,3:52:56,PM,92,8.5
3/12/2019,3:52:57,PM,91,8.9
3/12/2019,3:52:58,PM,91,8.9
3/12/2019,3:52:59,PM,91,9.2
3/12/2019,3:53:00,PM,90,9.2
3/12/2019,3:53:01,PM,89,9.4
3/12/2019,3:53:02,PM,86,9.4
3/12/2019,3:53:03,PM,84,9.4
3/12/2019,3:53:05,PM,86,9.4
3/12/2019,3:53:06,PM,87,9.4
3/12/2019,3:53:07,PM,86,9.3
3/12/2019,3:53:08,PM,86,9.3
3/12/2019,3:53:09,PM,86,9.3
3/12/2019,3:53:10,PM,87,9.3
3/12/2019,3:53:11,PM,89,9
3/12/2019,3:53:12,PM,91,9
3/12/2019,3:53:13,PM,92,8.7
3/12/2019,3:53:14,PM,92,8.7
3/12/2019,3:53:15,PM,92,8.4
3/12/2019,3:53:16,PM,92,8.4
3/12/2019,3:53:17,PM,93,8.2
3/12/2019,3:53:18,PM,94,8.2
3/12/2019,3:53:19,PM,95,8.6
3/12/2019,3:53:49,PM,87,11.3
3/12/2019,3:53:51,PM,88,11.9
3/12/2019,3:53:53,PM,87,12.5
3/12/2019,3:53:54,PM,86,12.5
3/12/2019,3:54:24,PM,93,12.8
3/12/2019,3:54:25,PM,94,12.1
3/12/2019,3:54:26,PM,95,12.1
3/12/2019,3:54:39,PM,91,10.7
3/12/2019,3:54:50,PM,89,7
3/12/2019,3:54:51,PM,89,7
3/12/2019,3:54:52,PM,90,6.6
3/12/2019,3:54:53,PM,90,6.6
3/12/2019,3:54:54,PM,92,6.5
3/12/2019,3:54:55,PM,92,6.5
3/12/2019,3:54:56,PM,91,6.5
3/12/2019,3:54:57,PM,91,6.5
3/12/2019,3:54:58,PM,91,6.7
3/12/2019,3:55:00,PM,89,6.9
3/12/2019,3:55:02,PM,88,7.4
3/12/2019,3:55:03,PM,86,7.4
3/12/2019,3:55:04,PM,86,7.9
3/12/2019,3:55:05,PM,86,7.9
3/12/2019,3:55:06,PM,85,8.6
3/12/2019,3:55:07,PM,85,8.6
3/12/2019,3:55:08,PM,87,9.2
3/12/2019,3:55:09,PM,90,9.2
3/12/2019,3:55:10,PM,90,10.1
3/12/2019,3:55:11,PM,88,10.1
3/12/2019,3:55:12,PM,86,10.6
3/12/2019,3:55:13,PM,85,10.6
3/12/2019,3:55:14,PM,86,10.7
3/12/2019,3:55:15,PM,87,10.7
3/12/2019,3:55:16,PM,86,11.2
3/12/2019,3:55:17,PM,85,11.2
3/12/2019,3:55:18,PM,85,11.2
3/12/2019,3:55:19,PM,87,11.2
3/12/2019,3:55:20,PM,88,11.6
3/12/2019,3:55:21,PM,88,11.6
3/12/2019,3:55:22,PM,88,11.6
3/12/2019,3:55:23,PM,88,11.6
3/12/2019,3:55:24,PM,89,11.7
3/12/2019,3:55:25,PM,90,11.7
3/12/2019,3:55:26,PM,91,11.7
3/12/2019,3:55:27,PM,90,11.7
3/12/2019,3:55:28,PM,89,11.7
3/12/2019,3:55:29,PM,89,11.7
3/12/2019,3:55:31,PM,91,11.5
3/12/2019,3:55:32,PM,90,11.5
3/12/2019,3:55:34,PM,87,11.6
3/12/2019,3:55:35,PM,89,11.6
3/12/2019,3:55:36,PM,91,11.3
3/12/2019,3:55:37,PM,92,11.3
3/12/2019,3:55:38,PM,92,11.4
3/12/2019,3:56:30,PM,87,14.1
