Time,,,HR,BR
3/18/2019,11:25:08,AM,84,14.8
3/18/2019,11:25:09,AM,83,14.8
3/18/2019,11:25:10,AM,83,13.7
3/18/2019,11:25:11,AM,84,13.7
3/18/2019,11:25:12,AM,86,12.6
3/18/2019,11:25:13,AM,86,12.6
3/18/2019,11:25:14,AM,85,11.9
3/18/2019,11:25:15,AM,87,11.9
3/18/2019,11:25:16,AM,90,11.2
3/18/2019,11:25:17,AM,93,11.2
3/18/2019,11:25:18,AM,94,10.9
3/18/2019,11:25:19,AM,93,10.9
3/18/2019,11:25:20,AM,92,10.7
3/18/2019,11:25:21,AM,90,10.7
3/18/2019,11:25:22,AM,84,10.5
3/18/2019,11:25:23,AM,80,10.5
3/18/2019,11:25:24,AM,78,10.4
3/18/2019,11:25:25,AM,80,10.4
3/18/2019,11:25:26,AM,83,10.3
3/18/2019,11:25:27,AM,88,10.3
3/18/2019,11:25:28,AM,88,9.2
3/18/2019,11:25:29,AM,90,9.2
3/18/2019,11:25:30,AM,92,8.3
3/18/2019,11:25:31,AM,96,8.3
3/18/2019,11:25:32,AM,97,7.5
3/18/2019,11:25:33,AM,92,7.5
3/18/2019,11:25:34,AM,89,7
3/18/2019,11:25:35,AM,85,7
3/18/2019,11:25:36,AM,81,6.6
3/18/2019,11:25:37,AM,78,6.6
3/18/2019,11:25:38,AM,76,6.3
3/18/2019,11:25:39,AM,74,6.3
3/18/2019,11:25:40,AM,73,6
3/18/2019,11:25:41,AM,72,6
3/18/2019,11:25:43,AM,72,5.7
3/18/2019,11:25:45,AM,73,5.7
3/18/2019,11:25:46,AM,72,5.7
3/18/2019,11:25:47,AM,72,5.7
3/18/2019,11:25:48,AM,72,6.1
3/18/2019,11:25:49,AM,72,6.1
3/18/2019,11:25:50,AM,74,6.3
3/18/2019,11:25:51,AM,78,6.3
3/18/2019,11:25:52,AM,82,6.9
3/18/2019,11:25:53,AM,84,6.9
3/18/2019,11:25:54,AM,84,7.4
3/18/2019,11:25:55,AM,80,7.4
3/18/2019,11:25:56,AM,81,7.9
3/18/2019,11:25:57,AM,84,7.9
3/18/2019,11:25:58,AM,86,8.6
3/18/2019,11:25:59,AM,89,8.6
3/18/2019,11:26:00,AM,90,9.5
3/18/2019,11:26:01,AM,90,9.5
3/18/2019,11:26:02,AM,90,10.4
3/18/2019,11:26:03,AM,95,10.4
3/18/2019,11:26:04,AM,98,10.8
3/18/2019,11:26:05,AM,98,10.8
3/18/2019,11:26:06,AM,96,11.5
3/18/2019,11:26:07,AM,92,11.5
3/18/2019,11:26:08,AM,90,12.2
3/18/2019,11:26:09,AM,90,12.2
3/18/2019,11:26:10,AM,92,13
3/18/2019,11:26:11,AM,91,13
3/18/2019,11:26:12,AM,92,13.5
3/18/2019,11:26:13,AM,93,13.5
3/18/2019,11:26:14,AM,93,14.3
3/18/2019,11:26:15,AM,94,14.3
3/18/2019,11:26:16,AM,96,14.9
3/18/2019,11:26:17,AM,99,14.9
3/18/2019,11:26:18,AM,99,15.5
3/18/2019,11:26:19,AM,93,15.5
3/18/2019,11:26:20,AM,92,15.8
3/18/2019,11:26:21,AM,97,15.8
3/18/2019,11:26:22,AM,97,16
3/18/2019,11:26:23,AM,94,16
3/18/2019,11:26:24,AM,90,16.5
3/18/2019,11:26:25,AM,85,16.5
3/18/2019,11:26:26,AM,83,16.7
3/18/2019,11:26:27,AM,83,16.7
3/18/2019,11:26:28,AM,84,16.5
3/18/2019,11:26:29,AM,87,16.5
3/18/2019,11:26:30,AM,93,16.4
3/18/2019,11:26:31,AM,94,16.4
3/18/2019,11:26:32,AM,94,16.2
3/18/2019,11:26:33,AM,92,16.2
3/18/2019,11:26:34,AM,89,15.8
3/18/2019,11:26:35,AM,84,15.8
3/18/2019,11:26:36,AM,80,15.4
3/18/2019,11:26:37,AM,76,15.4
3/18/2019,11:26:38,AM,74,15.1
3/18/2019,11:26:39,AM,75,15.1
3/18/2019,11:26:40,AM,78,14.8
3/18/2019,11:26:41,AM,83,14.8
3/18/2019,11:26:42,AM,89,14.8
3/18/2019,11:26:43,AM,93,14.8
3/18/2019,11:26:44,AM,92,14.8
3/18/2019,11:26:45,AM,89,14.8
3/18/2019,11:26:46,AM,85,14.8
3/18/2019,11:26:47,AM,81,14.8
3/18/2019,11:26:48,AM,78,15.1
3/18/2019,11:26:49,AM,78,15.1
3/18/2019,11:26:50,AM,78,15.1
3/18/2019,11:26:51,AM,78,15.1
3/18/2019,11:26:52,AM,79,15.4
3/18/2019,11:26:53,AM,81,15.4
3/18/2019,11:26:54,AM,81,15.7
