Time,,,HR,BR
3/19/2019,3:25:07,PM,85,9.6
3/19/2019,3:25:08,PM,86,8.6
3/19/2019,3:25:09,PM,87,8.6
3/19/2019,3:25:10,PM,87,8.1
3/19/2019,3:25:11,PM,85,8.1
3/19/2019,3:25:12,PM,85,7.6
3/19/2019,3:25:13,PM,82,7.6
3/19/2019,3:25:14,PM,80,7.3
3/19/2019,3:25:15,PM,78,7.3
3/19/2019,3:25:16,PM,79,7.1
3/19/2019,3:25:17,PM,79,7.1
3/19/2019,3:25:18,PM,77,7
3/19/2019,3:25:19,PM,76,7
3/19/2019,3:25:20,PM,78,7
3/19/2019,3:25:21,PM,79,7
3/19/2019,3:25:22,PM,77,7.3
3/19/2019,3:25:23,PM,78,7.3
3/19/2019,3:25:24,PM,78,6.9
3/19/2019,3:25:25,PM,76,6.9
3/19/2019,3:25:26,PM,76,6.5
3/19/2019,3:25:27,PM,78,6.5
3/19/2019,3:25:28,PM,79,6.2
3/19/2019,3:25:29,PM,78,6.2
3/19/2019,3:25:30,PM,77,5.8
3/19/2019,3:25:31,PM,77,5.8
3/19/2019,3:25:32,PM,78,5.6
3/19/2019,3:25:33,PM,79,5.6
3/19/2019,3:25:34,PM,80,5.3
3/19/2019,3:25:35,PM,81,5.3
3/19/2019,3:25:36,PM,84,5.1
3/19/2019,3:25:37,PM,84,5.1
3/19/2019,3:25:38,PM,81,5.2
3/19/2019,3:25:39,PM,77,5.2
3/19/2019,3:25:40,PM,75,5.3
3/19/2019,3:25:41,PM,73,5.3
3/19/2019,3:25:42,PM,71,5.6
3/19/2019,3:25:43,PM,71,5.6
3/19/2019,3:25:44,PM,73,6
3/19/2019,3:25:45,PM,77,6
3/19/2019,3:25:46,PM,80,6.4
3/19/2019,3:25:47,PM,82,6.4
3/19/2019,3:25:48,PM,84,6.7
3/19/2019,3:25:49,PM,83,6.7
3/19/2019,3:25:50,PM,82,7.3
3/19/2019,3:25:51,PM,79,7.3
3/19/2019,3:25:52,PM,82,7.8
3/19/2019,3:25:53,PM,83,7.8
3/19/2019,3:25:54,PM,81,7
3/19/2019,3:25:55,PM,78,7
3/19/2019,3:25:56,PM,79,6.3
3/19/2019,3:25:57,PM,79,6.3
3/19/2019,3:25:58,PM,77,6
3/19/2019,3:25:59,PM,76,6
3/19/2019,3:26:00,PM,81,5.7
3/19/2019,3:26:01,PM,84,5.7
3/19/2019,3:26:02,PM,86,5.7
3/19/2019,3:26:03,PM,86,5.7
3/19/2019,3:26:04,PM,87,5.7
3/19/2019,3:26:05,PM,85,5.7
3/19/2019,3:26:06,PM,83,6.1
3/19/2019,3:26:07,PM,83,6.1
3/19/2019,3:26:08,PM,85,6.6
3/19/2019,3:26:09,PM,85,6.6
3/19/2019,3:26:10,PM,87,7.5
3/19/2019,3:26:11,PM,90,7.5
3/19/2019,3:26:12,PM,93,8.2
3/19/2019,3:26:13,PM,93,8.2
3/19/2019,3:26:14,PM,92,8.9
3/19/2019,3:26:15,PM,93,8.9
3/19/2019,3:26:16,PM,91,9.6
3/19/2019,3:26:17,PM,86,9.6
3/19/2019,3:26:18,PM,85,10.1
3/19/2019,3:26:19,PM,87,10.1
3/19/2019,3:26:20,PM,91,10.6
3/19/2019,3:26:21,PM,93,10.6
3/19/2019,3:26:22,PM,95,11
3/19/2019,3:26:23,PM,93,11
3/19/2019,3:26:24,PM,90,11.4
3/19/2019,3:26:25,PM,86,11.4
3/19/2019,3:26:26,PM,82,11.7
3/19/2019,3:26:27,PM,84,11.7
3/19/2019,3:26:28,PM,86,11.9
3/19/2019,3:26:29,PM,86,11.9
3/19/2019,3:26:30,PM,88,12
3/19/2019,3:26:31,PM,88,12
3/19/2019,3:26:32,PM,83,12.2
3/19/2019,3:26:33,PM,79,12.2
3/19/2019,3:26:34,PM,78,12.4
3/19/2019,3:26:35,PM,79,12.4
3/19/2019,3:26:36,PM,79,12.5
3/19/2019,3:26:37,PM,78,12.5
3/19/2019,3:26:38,PM,80,12.7
3/19/2019,3:26:39,PM,81,12.7
3/19/2019,3:26:40,PM,80,13
3/19/2019,3:26:41,PM,80,13
3/19/2019,3:26:42,PM,80,13.2
3/19/2019,3:26:43,PM,81,13.2
3/19/2019,3:26:44,PM,82,13.7
3/19/2019,3:26:45,PM,84,13.7
3/19/2019,3:26:46,PM,84,14
3/19/2019,3:26:47,PM,80,14
3/19/2019,3:26:48,PM,77,14.2
3/19/2019,3:26:49,PM,75,14.2
3/19/2019,3:26:50,PM,77,14.3
3/19/2019,3:26:51,PM,80,14.3
3/19/2019,3:26:52,PM,82,14.6
3/19/2019,3:26:53,PM,83,14.6
3/19/2019,3:26:54,PM,83,14.9
3/19/2019,3:26:55,PM,80,14.9
3/19/2019,3:26:56,PM,78,15
3/19/2019,3:26:57,PM,76,15
3/19/2019,3:26:58,PM,76,15.1
3/19/2019,3:26:59,PM,80,15.1
3/19/2019,3:27:00,PM,83,13.6
3/19/2019,3:27:01,PM,86,13.6
3/19/2019,3:27:02,PM,85,12.3
3/19/2019,3:27:03,PM,83,12.3
3/19/2019,3:27:04,PM,79,11.1
3/19/2019,3:27:05,PM,81,11.1
3/19/2019,3:27:06,PM,82,10.1
3/19/2019,3:27:07,PM,79,10.1
3/19/2019,3:27:08,PM,78,9.2
3/19/2019,3:27:09,PM,80,9.2
3/19/2019,3:27:10,PM,83,8.4
3/19/2019,3:27:11,PM,79,8.4
3/19/2019,3:27:12,PM,76,7.5
3/19/2019,3:27:13,PM,79,7.5
3/19/2019,3:27:14,PM,82,7.1
3/19/2019,3:27:15,PM,82,7.1
3/19/2019,3:27:17,PM,81,7
3/19/2019,3:27:18,PM,84,6.9
3/19/2019,3:27:19,PM,89,6.9
3/19/2019,3:27:20,PM,89,6.9
3/19/2019,3:27:21,PM,86,6.9
3/19/2019,3:27:22,PM,82,6.8
3/19/2019,3:27:23,PM,81,6.8
3/19/2019,3:27:24,PM,83,6.8
3/19/2019,3:27:25,PM,81,6.8
3/19/2019,3:27:26,PM,77,6.7
3/19/2019,3:27:27,PM,73,6.7
3/19/2019,3:27:28,PM,72,6.1
3/19/2019,3:27:29,PM,73,6.1
3/19/2019,3:27:30,PM,75,5.8
3/19/2019,3:27:31,PM,76,5.8
3/19/2019,3:27:32,PM,77,5.5
3/19/2019,3:27:33,PM,77,5.5
3/19/2019,3:27:34,PM,76,5.6
3/19/2019,3:27:35,PM,75,5.6
3/19/2019,3:27:36,PM,75,5.6
3/19/2019,3:27:37,PM,74,5.6
3/19/2019,3:27:38,PM,73,5.9
3/19/2019,3:27:39,PM,72,5.9
3/19/2019,3:27:40,PM,71,6.2
3/19/2019,3:27:41,PM,71,6.2
3/19/2019,3:27:42,PM,73,6.8
3/19/2019,3:27:43,PM,75,6.8
3/19/2019,3:27:44,PM,75,7.6
3/19/2019,3:27:45,PM,74,7.6
3/19/2019,3:27:46,PM,74,8.4
3/19/2019,3:27:47,PM,73,8.4
3/19/2019,3:27:48,PM,73,9.3
3/19/2019,3:27:49,PM,73,9.3
3/19/2019,3:27:50,PM,74,10.2
3/19/2019,3:27:51,PM,74,10.2
3/19/2019,3:27:52,PM,73,11
3/19/2019,3:27:53,PM,73,11
3/19/2019,3:27:54,PM,75,11.4
3/19/2019,3:27:55,PM,76,11.4
3/19/2019,3:27:56,PM,74,12
3/19/2019,3:27:57,PM,74,12
3/19/2019,3:27:58,PM,75,12.6
3/19/2019,3:27:59,PM,73,12.6
3/19/2019,3:28:00,PM,72,13.1
3/19/2019,3:28:01,PM,72,13.1
3/19/2019,3:28:02,PM,72,13.6
3/19/2019,3:28:04,PM,72,13.8
3/19/2019,3:28:05,PM,72,13.8
3/19/2019,3:28:06,PM,71,14.2
3/19/2019,3:28:07,PM,71,14.2
3/19/2019,3:28:08,PM,73,14.6
3/19/2019,3:28:09,PM,72,14.6
3/19/2019,3:28:10,PM,71,14.6
3/19/2019,3:28:11,PM,74,14.6
3/19/2019,3:28:12,PM,75,14.9
3/19/2019,3:28:13,PM,72,14.9
3/19/2019,3:28:14,PM,71,15.2
3/19/2019,3:28:15,PM,70,15.2
3/19/2019,3:28:16,PM,68,15.5
3/19/2019,3:28:17,PM,68,15.5
3/19/2019,3:28:18,PM,70,15.5
3/19/2019,3:28:19,PM,70,15.5
3/19/2019,3:28:20,PM,70,15.7
3/19/2019,3:28:21,PM,72,15.7
3/19/2019,3:28:22,PM,72,15.9
3/19/2019,3:28:23,PM,69,15.9
3/19/2019,3:28:24,PM,68,16.1
3/19/2019,3:28:25,PM,70,16.1
3/19/2019,3:28:26,PM,70,16.3
3/19/2019,3:28:27,PM,67,16.3
3/19/2019,3:28:28,PM,66,16.2
3/19/2019,3:28:29,PM,68,16.2
3/19/2019,3:28:30,PM,68,16.4
3/19/2019,3:28:31,PM,68,16.4
3/19/2019,3:28:32,PM,69,16.2
3/19/2019,3:28:33,PM,72,16.2
3/19/2019,3:28:34,PM,71,16.4
3/19/2019,3:28:35,PM,70,16.4
3/19/2019,3:28:36,PM,71,16.3
3/19/2019,3:28:37,PM,71,16.3
3/19/2019,3:28:38,PM,72,16.4
3/19/2019,3:28:39,PM,71,16.4
3/19/2019,3:28:40,PM,72,16.3
3/19/2019,3:28:41,PM,73,16.3
3/19/2019,3:28:42,PM,73,16.2
3/19/2019,3:28:43,PM,70,16.2
3/19/2019,3:28:44,PM,69,16.1
3/19/2019,3:28:45,PM,71,16.1
3/19/2019,3:28:46,PM,71,16
3/19/2019,3:28:47,PM,69,16
3/19/2019,3:28:48,PM,68,15.9
3/19/2019,3:28:49,PM,69,15.9
3/19/2019,3:28:50,PM,69,15.8
3/19/2019,3:28:51,PM,67,15.8
3/19/2019,3:28:52,PM,68,15.7
3/19/2019,3:28:53,PM,68,15.7
3/19/2019,3:28:54,PM,68,15.7
3/19/2019,3:28:55,PM,69,15.7
3/19/2019,3:28:56,PM,71,15.6
3/19/2019,3:28:57,PM,71,15.6
3/19/2019,3:28:58,PM,68,15.5
3/19/2019,3:28:59,PM,67,15.5
3/19/2019,3:29:00,PM,68,15.5
3/19/2019,3:29:01,PM,69,15.5
3/19/2019,3:29:02,PM,69,15.5
3/19/2019,3:29:03,PM,69,15.5
3/19/2019,3:29:04,PM,72,15.7
3/19/2019,3:29:05,PM,71,15.7
3/19/2019,3:29:06,PM,71,15.6
3/19/2019,3:29:07,PM,73,15.6
3/19/2019,3:29:08,PM,74,15.9
3/19/2019,3:29:09,PM,72,15.9
3/19/2019,3:29:10,PM,74,15.8
3/19/2019,3:29:11,PM,76,15.8
3/19/2019,3:29:12,PM,76,16
3/19/2019,3:29:13,PM,75,16
3/19/2019,3:29:14,PM,75,15.9
3/19/2019,3:29:15,PM,74,15.9
3/19/2019,3:29:16,PM,72,16.1
3/19/2019,3:29:17,PM,72,16.1
3/19/2019,3:29:18,PM,72,16.3
3/19/2019,3:29:19,PM,71,16.3
3/19/2019,3:29:20,PM,71,16.5
3/19/2019,3:29:21,PM,73,16.5
3/19/2019,3:29:22,PM,73,16.6
3/19/2019,3:29:23,PM,74,16.6
3/19/2019,3:29:24,PM,76,16.5
3/19/2019,3:29:25,PM,77,16.5
3/19/2019,3:29:26,PM,77,16.6
3/19/2019,3:29:27,PM,76,16.6
3/19/2019,3:29:28,PM,77,16.4
3/19/2019,3:29:29,PM,78,16.4
3/19/2019,3:29:30,PM,75,16.6
3/19/2019,3:29:31,PM,74,16.6
3/19/2019,3:29:32,PM,75,16.4
3/19/2019,3:29:33,PM,76,16.4
3/19/2019,3:29:34,PM,76,16.6
3/19/2019,3:29:35,PM,75,16.6
3/19/2019,3:29:36,PM,77,16.4
3/19/2019,3:29:37,PM,76,16.4
