Time,,,HR, BR
4/2/2019,10:12:55,AM,65,10
4/2/2019,10:12:56,AM,0,0
4/2/2019,10:12:57,AM,0,0
4/2/2019,10:12:58,AM,0,0
4/2/2019,10:12:59,AM,0,0
4/2/2019,10:13:00,AM,57,10
4/2/2019,10:13:01,AM,53,10
4/2/2019,10:13:02,AM,51,10
4/2/2019,10:13:03,AM,51,10
4/2/2019,10:13:04,AM,50,10
4/2/2019,10:13:05,AM,45,10
4/2/2019,10:13:06,AM,40,10
4/2/2019,10:13:07,AM,37,10
4/2/2019,10:13:08,AM,36,10
4/2/2019,10:13:09,AM,35,10
4/2/2019,10:13:11,AM,35,10
4/2/2019,10:13:12,AM,35,10
4/2/2019,10:13:13,AM,35,10
4/2/2019,10:13:14,AM,35,10
4/2/2019,10:13:15,AM,35,10
4/2/2019,10:13:16,AM,35,10
4/2/2019,10:13:17,AM,35,10
4/2/2019,10:13:18,AM,35,10
4/2/2019,10:13:19,AM,34,10
4/2/2019,10:13:20,AM,34,10
4/2/2019,10:13:21,AM,34,10
4/2/2019,10:13:22,AM,34,10
4/2/2019,10:13:23,AM,34,10
4/2/2019,10:13:24,AM,34,10
4/2/2019,10:13:25,AM,0,0
4/2/2019,10:13:26,AM,0,0
4/2/2019,10:13:27,AM,0,0
4/2/2019,10:13:28,AM,0,0
4/2/2019,10:13:29,AM,0,9
4/2/2019,10:13:30,AM,0,0
4/2/2019,10:13:31,AM,0,0
4/2/2019,10:13:32,AM,0,9
4/2/2019,10:13:33,AM,70,9
4/2/2019,10:13:34,AM,0,0
4/2/2019,10:13:35,AM,0,0
4/2/2019,10:13:36,AM,0,0
4/2/2019,10:13:37,AM,0,0
4/2/2019,10:13:38,AM,0,0
4/2/2019,10:13:39,AM,0,0
4/2/2019,10:13:40,AM,72,9
4/2/2019,10:13:41,AM,68,10
4/2/2019,10:13:42,AM,67,10
4/2/2019,10:13:43,AM,67,10
4/2/2019,10:13:44,AM,66,10
4/2/2019,10:13:45,AM,0,0
4/2/2019,10:13:46,AM,0,0
4/2/2019,10:13:47,AM,0,0
4/2/2019,10:13:48,AM,0,0
4/2/2019,10:13:49,AM,0,0
4/2/2019,10:13:50,AM,0,0
4/2/2019,10:13:51,AM,66,11
4/2/2019,10:13:52,AM,65,11
4/2/2019,10:13:53,AM,65,11
4/2/2019,10:13:54,AM,66,11
4/2/2019,10:13:55,AM,66,11
4/2/2019,10:13:56,AM,66,11
4/2/2019,10:13:57,AM,67,11
4/2/2019,10:13:58,AM,67,11
4/2/2019,10:13:59,AM,68,11
4/2/2019,10:14:00,AM,68,11
4/2/2019,10:14:01,AM,69,11
4/2/2019,10:14:02,AM,70,11
4/2/2019,10:14:03,AM,71,12
4/2/2019,10:14:04,AM,72,12
4/2/2019,10:14:05,AM,73,12
4/2/2019,10:14:06,AM,74,12
4/2/2019,10:14:07,AM,75,12
4/2/2019,10:14:08,AM,75,12
4/2/2019,10:14:09,AM,0,0
4/2/2019,10:14:10,AM,0,0
4/2/2019,10:14:11,AM,75,12
4/2/2019,10:14:12,AM,75,12
4/2/2019,10:14:13,AM,75,12
4/2/2019,10:14:14,AM,75,12
4/2/2019,10:14:15,AM,74,13
4/2/2019,10:14:16,AM,75,13
4/2/2019,10:14:17,AM,75,13
4/2/2019,10:14:18,AM,0,0
4/2/2019,10:14:19,AM,0,0
4/2/2019,10:14:20,AM,0,0
4/2/2019,10:14:21,AM,75,13
4/2/2019,10:14:22,AM,74,13
4/2/2019,10:14:23,AM,74,13
4/2/2019,10:14:24,AM,74,13
4/2/2019,10:14:25,AM,74,13
4/2/2019,10:14:26,AM,74,13
4/2/2019,10:14:27,AM,74,13
4/2/2019,10:14:28,AM,73,13
4/2/2019,10:14:30,AM,73,13
4/2/2019,10:14:31,AM,73,13
4/2/2019,10:14:32,AM,73,13
4/2/2019,10:14:34,AM,74,13
4/2/2019,10:14:35,AM,74,12
4/2/2019,10:14:36,AM,74,12
4/2/2019,10:14:37,AM,74,12
4/2/2019,10:14:38,AM,74,12
4/2/2019,10:14:39,AM,74,12
4/2/2019,10:14:40,AM,0,12
4/2/2019,10:14:41,AM,67,12
4/2/2019,10:14:42,AM,83,12
4/2/2019,10:14:43,AM,90,12
4/2/2019,10:14:44,AM,94,12
4/2/2019,10:14:45,AM,95,13
4/2/2019,10:14:46,AM,96,13
4/2/2019,10:14:47,AM,96,14
4/2/2019,10:14:48,AM,96,14
4/2/2019,10:14:49,AM,97,14
4/2/2019,10:14:50,AM,97,14
4/2/2019,10:14:51,AM,97,15
4/2/2019,10:14:52,AM,97,15
4/2/2019,10:14:53,AM,103,15
4/2/2019,10:14:54,AM,0,0
4/2/2019,10:14:55,AM,124,15
4/2/2019,10:14:56,AM,127,15
4/2/2019,10:14:57,AM,129,15
4/2/2019,10:14:58,AM,132,15
4/2/2019,10:14:59,AM,131,15
4/2/2019,10:15:00,AM,128,15
4/2/2019,10:15:01,AM,126,15
4/2/2019,10:15:02,AM,126,15
4/2/2019,10:15:03,AM,125,15
4/2/2019,10:15:04,AM,126,15
4/2/2019,10:15:05,AM,126,15
4/2/2019,10:15:06,AM,127,15
4/2/2019,10:15:07,AM,125,15
4/2/2019,10:15:08,AM,121,15
4/2/2019,10:15:09,AM,118,14
4/2/2019,10:15:10,AM,117,14
4/2/2019,10:15:11,AM,118,14
4/2/2019,10:15:12,AM,120,14
4/2/2019,10:15:13,AM,123,14
4/2/2019,10:15:14,AM,124,14
4/2/2019,10:15:15,AM,123,13
4/2/2019,10:15:16,AM,119,13
4/2/2019,10:15:17,AM,113,13
4/2/2019,10:15:18,AM,112,13
4/2/2019,10:15:19,AM,113,13
4/2/2019,10:15:20,AM,113,13
4/2/2019,10:15:21,AM,112,13
4/2/2019,10:15:22,AM,111,13
4/2/2019,10:15:23,AM,111,13
4/2/2019,10:15:24,AM,111,13
