Time,,,HR,BR
4/3/2019,3:16:08,PM,63,10
4/3/2019,3:16:09,PM,0,0
4/3/2019,3:16:10,PM,65,10
4/3/2019,3:16:11,PM,65,10
4/3/2019,3:16:12,PM,65,10
4/3/2019,3:16:13,PM,65,10
4/3/2019,3:16:14,PM,65,10
4/3/2019,3:16:15,PM,65,11
4/3/2019,3:16:16,PM,62,11
4/3/2019,3:16:17,PM,64,11
4/3/2019,3:16:18,PM,64,11
4/3/2019,3:16:19,PM,64,11
4/3/2019,3:16:20,PM,64,11
4/3/2019,3:16:21,PM,64,11
4/3/2019,3:16:22,PM,64,11
4/3/2019,3:16:23,PM,64,12
4/3/2019,3:16:24,PM,64,12
4/3/2019,3:16:25,PM,64,12
4/3/2019,3:16:26,PM,64,12
4/3/2019,3:16:27,PM,61,12
4/3/2019,3:16:28,PM,60,12
4/3/2019,3:16:29,PM,59,13
4/3/2019,3:16:30,PM,59,13
4/3/2019,3:16:31,PM,59,14
4/3/2019,3:16:32,PM,59,14
4/3/2019,3:16:33,PM,59,15
4/3/2019,3:16:34,PM,59,15
4/3/2019,3:16:35,PM,59,15
4/3/2019,3:16:36,PM,59,15
4/3/2019,3:16:37,PM,0,16
4/3/2019,3:16:38,PM,65,16
4/3/2019,3:16:39,PM,57,17
4/3/2019,3:16:40,PM,53,17
4/3/2019,3:16:41,PM,51,17
4/3/2019,3:16:42,PM,51,17
4/3/2019,3:16:43,PM,45,17
4/3/2019,3:16:44,PM,40,17
4/3/2019,3:16:45,PM,37,17
4/3/2019,3:16:46,PM,36,17
4/3/2019,3:16:47,PM,35,17
4/3/2019,3:16:48,PM,35,17
4/3/2019,3:16:49,PM,35,17
4/3/2019,3:16:50,PM,35,17
4/3/2019,3:16:52,PM,35,17
4/3/2019,3:16:53,PM,0,17
4/3/2019,3:16:54,PM,0,17
4/3/2019,3:16:55,PM,0,16
4/3/2019,3:16:56,PM,0,16
4/3/2019,3:16:57,PM,0,16
4/3/2019,3:16:58,PM,0,16
4/3/2019,3:16:59,PM,0,17
4/3/2019,3:17:00,PM,0,0
4/3/2019,3:17:01,PM,0,0
