Time,,,HR,BR
3/13/2019,11:48:23,AM,68,8.1
3/13/2019,11:48:24,AM,69,8.2
3/13/2019,11:48:25,AM,71,8.2
3/13/2019,11:48:26,AM,71,8.6
3/13/2019,11:48:27,AM,71,8.6
3/13/2019,11:48:28,AM,72,8.9
3/13/2019,11:48:29,AM,73,8.9
3/13/2019,11:48:30,AM,72,9.2
3/13/2019,11:48:31,AM,71,9.2
3/13/2019,11:48:32,AM,72,9.8
3/13/2019,11:48:33,AM,70,9.8
3/13/2019,11:48:34,AM,68,10.3
3/13/2019,11:48:35,AM,69,10.3
3/13/2019,11:48:36,AM,69,11.1
3/13/2019,11:48:37,AM,70,11.1
3/13/2019,11:48:39,AM,73,11.8
3/13/2019,11:48:41,AM,76,12.4
3/13/2019,11:48:43,AM,75,12.9
3/13/2019,11:48:44,AM,76,13.4
3/13/2019,11:48:45,AM,77,13.4
3/13/2019,11:48:46,AM,77,13.9
3/13/2019,11:48:47,AM,77,13.9
3/13/2019,11:48:48,AM,78,14.3
3/13/2019,11:48:49,AM,79,14.3
3/13/2019,11:48:50,AM,79,14.7
3/13/2019,11:48:51,AM,77,14.7
3/13/2019,11:48:52,AM,77,14.7
3/13/2019,11:48:53,AM,79,14.7
3/13/2019,11:48:54,AM,79,14.7
3/13/2019,11:48:55,AM,78,14.7
3/13/2019,11:48:56,AM,77,14.8
3/13/2019,11:48:57,AM,77,14.8
3/13/2019,11:48:58,AM,78,14.8
3/13/2019,11:48:59,AM,77,14.8
3/13/2019,11:49:00,AM,76,14.8
3/13/2019,11:49:01,AM,74,14.8
3/13/2019,11:49:02,AM,75,14.5
3/13/2019,11:49:03,AM,76,14.5
3/13/2019,11:49:04,AM,76,14.6
3/13/2019,11:49:05,AM,74,14.6
3/13/2019,11:49:06,AM,72,14.3
3/13/2019,11:49:07,AM,72,14.3
3/13/2019,11:49:08,AM,73,14.1
3/13/2019,11:49:09,AM,72,14.1
3/13/2019,11:49:10,AM,71,13.9
3/13/2019,11:49:11,AM,70,13.9
3/13/2019,11:49:12,AM,71,13.7
3/13/2019,11:49:13,AM,73,13.7
3/13/2019,11:49:14,AM,72,13.8
3/13/2019,11:49:15,AM,70,13.8
3/13/2019,11:49:16,AM,72,13.7
3/13/2019,11:49:17,AM,75,13.7
3/13/2019,11:49:18,AM,76,13.5
3/13/2019,11:49:19,AM,75,13.5
3/13/2019,11:49:20,AM,74,13.4
3/13/2019,11:49:21,AM,74,13.4
3/13/2019,11:49:22,AM,76,13.5
3/13/2019,11:49:23,AM,75,13.5
3/13/2019,11:49:24,AM,73,13.4
3/13/2019,11:49:25,AM,73,13.4
3/13/2019,11:49:26,AM,73,13.5
3/13/2019,11:49:27,AM,72,13.5
3/13/2019,11:49:28,AM,72,13.7
3/13/2019,11:49:29,AM,75,13.7
3/13/2019,11:49:30,AM,78,13.5
3/13/2019,11:49:31,AM,80,13.5
